,text,textlength,moral_score,moral_wc,immoral_wc,other_wc,goodness,happiness,sadness,anger,afraid,disgust,surprise,positive_prob,sub_probs
0,Danger cannot be allowed to exist.,6,-3.5460904910198825,0,0,6,0,0,0,0,0,1,0,69.5028,[0.695027724241083]
1,"It’s not just because of throwing the dog, but the usual management of student work is not done well at all. The students themselves have grievances against the school, and they don’t want to vent their anger now.",26,-0.3915949810135431,0,0,26,1,1,0,0,0,1,0,99.9876,"[0.6554817448485922, 0.8048724833847165, 0.981928839226224, 0.9627638894380954]"
2,“The loudest dogs have yet to adopt a dog.”,12,-2.804660204719863,0,0,13,0,0,0,0,0,0,0,16.0723,[0.16072280114801196]
3,"Three puppies will turn into thirty, three thousand. Can you keep feeding them? boss? Don&#39;t bankrupt yourself for the sake of hype",23,-9.696677837473296e-05,0,1,23,0,0,1,0,0,0,0,0.2987,"[0.3206143873414268, 0.5952471124089858, 0.5262327818078083, 0.3879310344827588, 0.009246626447036999]"
4,"A group of ownerless dogs, of course, no one has a leash, and they don’t know how to inject vaccines. The shop owner actually summoned him to the street where people come and go, and he also pretended to be a virgin // @杀台狗: It’s an illegal thing, actually I still feel very proud",34,-1.7105771757943289,1,1,34,1,0,0,0,0,0,0,0.2266,"[0.5182321687964503, 0.4268625305179823, 0.8268931598169428, 0.1527911484207748, 0.00412497912276355, 0.57324266677665]"
5,"There are people in our community who feed cats. When the time comes, many cats will gather together. Why don’t you take these “holy ladies” home and raise them?",19,-0.30916477408564075,0,0,22,0,0,0,0,0,0,0,84.2552,"[0.4431580106101799, 0.5399449035812672, 0.9226954912341776, 0.39678292227168144]"
6,"Dogs are cute, why should ducks blame them? In three years, 12 generations of hundreds of cute little yellow ducks grew up, were slaughtered, and became their dinner. What is there to flaunt about this hypocrisy?",28,0.8074643282283405,1,1,29,2,0,0,0,0,3,0,88.0239,"[0.8611988470911064, 0.2578156263146961, 0.82264206618946, 0.887820301722121, 0.5, 0.40364438629780786, 0.7266887187755994]"
7,"Good dogs don&#39;t bite, only evil dogs do. Those who have been proven to be vicious dogs should be resolutely killed",11,0.0,0,0,13,1,0,0,0,0,0,0,14.6838,"[0.4659650213371934, 0.33353895562144553, 0.4934542771314032, 0.35668467407049653]"
8,"With so much kitchen waste, we should be responsible for how much we can save on disposal fees.",12,1.6086138824425844,1,0,13,1,0,0,0,0,0,0,16.146,"[0.4167481574369414, 0.2794761933792259, 0.46153846153846145]"
9,"@张信宇@陈凯浩@李娜@李小然@阿多@杨迪@李素 @薛志强@兰西 The opportunity has come. These strays are so cute. Come and adopt them as soon as possible. Don’t be blind, deaf, mute, or paralyzed?",27,1.4111511682164346,1,0,30,1,0,0,0,0,0,0,100.0,"[0.9999999999804705, 0.9828056273363938, 0.7340927103134979, 0.8419185497540704]"
10,"What&#39;s wrong with me, Joe Chen? Why don&#39;t you get me a group of stray dogs too?",13,-1.4669836844700892,0,0,13,0,0,0,0,0,0,0,98.1714,"[0.8971548359269828, 0.8723791471446362]"
11,"Okay, if these three dogs bite passers-by, someone will be able to compensate them~~~",14,0.7358622254515771,1,0,15,1,0,0,0,0,0,0,5.2001,"[0.6317853705682674, 0.3124448121727741, 0.07986386680081603]"
12,Dog worship cult creates dog god,5,0.0,0,0,5,0,0,0,0,0,0,0,94.8859,[0.9488592089109201]
13,Dogs all know which restaurant to look pitiful and cute when eating.,13,0.0,0,0,13,1,0,0,0,0,0,0,70.3614,[0.7036143903104279]
14,"#中国rabies incidence rate is far ahead # Tsk tsk tsk //@李叶无伟: A good boss makes a fortune. But if these stray dogs bite someone, the boss may be held responsible. It is better to give it to dog lovers for adoption. Yang Di, Li Xiaoran, Xue Zhiqian, etc. will all like to adopt it.",38,0.8954222171868491,2,0,42,3,0,0,0,0,0,0,99.9599,"[0.20314097755647542, 0.5, 0.9055906580075996, 0.32845181338340856, 0.9128421655140685, 0.9970337337605107]"
15,"One day when he bit someone, the judge said angrily: &quot;It&#39;s not your dog, why did you feed it?&quot; Sorry!",14,-0.5292948005863207,0,0,19,0,0,0,0,0,1,0,10.9196,"[0.5891625178571712, 0.10123103706602377, 0.5262327818078083, 0.5262327818078083, 0.5]"
16,"// @ Mandasi: Dogs are cute, why should ducks and ducks blame them? In three years, 12 generations of hundreds of cute little yellow ducks grew up, were slaughtered, and became their dinner. What is there to flaunt about this hypocrisy?",29,1.5875255154105719,1,1,33,2,0,0,0,0,3,0,85.6268,"[0.8341359526989315, 0.2578156263146961, 0.82264206618946, 0.887820301722121, 0.5, 0.40364438629780786, 0.7266887187755994]"
17,"If someone yells twice online, why do you still take it seriously?",12,0.0,0,0,14,0,0,0,0,0,0,0,16.8026,"[0.1557031024027672, 0.5488180064031624]"
18,"There are caring people who feed stray cats in the community at their own expense, and then, fearing the proliferation of wild cats, they spend their own money to sterilize them. I don’t know if it’s true love or to satisfy their so-called kindness.",31,0.3241516555594735,3,0,29,2,1,0,0,0,1,0,99.9931,"[0.9839809211347622, 0.9850915441972615, 0.24189825805209397, 0.9388274520539235]"
19,"My focus was a little biased. It turns out that the electric license plates in Henan are yellow, and there are many numbers. The whole plate is so big.",17,0.0,0,0,18,0,0,0,0,0,1,1,60.2587,"[0.6712366359748653, 0.17822983463577113, 0.8209732470371532, 0.505746216935643]"
20,@杨迪@李小兰@薛之强 Someone is looking for you,5,0.0,0,0,6,0,0,0,0,0,0,0,99.9843,[0.9998434343329642]
21,The boss is confused,3,0.0,0,0,3,0,0,0,0,0,1,0,15.2681,[0.15268125962040413]
22,Duck&#39;s life is also life,5,0.0,0,0,5,0,0,0,0,0,0,0,95.1314,[0.9513140174663185]
23,"It&#39;s an illegal thing, but I still feel that I&#39;m very proud of it.",11,1.6161234215910387,1,1,10,1,0,0,0,0,0,0,11.9859,"[0.10121182467204137, 0.57324266677665]"
24,Need to hunt,2,0.0,0,0,2,0,0,0,0,0,0,0,55.0442,[0.5504421039673002]
25,Web link calling for dog ban!,4,0.0,0,0,5,0,0,0,0,0,0,0,2.2085,[0.022085425439653528]
26,There have been cases where the person who fed the food was held responsible.,9,1.235121476013652,1,0,10,1,0,0,0,0,0,0,43.8113,"[0.5892857142857142, 0.37641103955938426]"
27,They are all gentlemen who only like to talk.,8,0.0,0,0,10,2,0,0,0,0,0,0,52.9524,"[0.4810448254585378, 0.5742266671724605]"
28,Only feeding without neutering will only lead to more and more stray dogs!,10,-0.5058424761161495,0,0,10,0,0,0,0,0,0,0,96.435,[0.9643497790698822]
29,"It&#39;s strange that these newsmen have a conscience. Doesn&#39;t this fix the evidence? As long as something goes wrong, the person feeding him won&#39;t be able to escape even if he wants to.",22,-2.6240164151548426e-05,0,0,23,0,0,0,0,0,1,0,15.9364,"[0.7150250047858566, 0.2814547591382487, 0.19223191211959845]"
30,"Last time, I saw a girl’s father who killed a stray dog that was in the community. Dog lovers insulted the father in front of the children, and even stood guard at the door with a threatening tone, regardless of whether the girl would accept it or not. Come on, will there be any psychological shadow? If you love me so much, why didn’t you take that dog away in the first place?",46,0.328798363967081,2,4,40,0,0,0,0,0,4,0,99.9097,"[0.7958598919512798, 0.9665208248273276, 0.9464818615054986, 0.9063514491367513, 0.5036632321403479, 0.10231333431231815, 0.6760133285416057, 0.34115001710689863, 0.7483050847457626, 0.2847092804624344]"
31,"Everyone has good and bad qualities, not to mention dogs. If a dog bites, he will be beaten to death, but if you cull the dogs that are not a problem at will, then there will be a problem, right?",22,-3.070064882388872,0,3,19,0,1,0,0,0,0,0,14.3594,"[0.2703912495346412, 0.1718729134507293, 0.7289598126615255]"
32,"When stray dogs bite people, why can’t the neighborhood committee and street office be held responsible? They have an obligation to deal with it.",16,2.7894801629602397,1,0,17,2,0,0,0,0,0,0,52.9198,"[0.9286838541970016, 0.12433724596945284, 0.4285714285714288]"
33,"Alaska should not be a stray dog. After being exposed for biting people, if there is no certificate, the dog owner will not recognize it and it will become a fake stray dog.",16,-2.4039195305767858,0,0,15,0,0,0,0,0,1,0,98.2966,"[0.896079541270852, 0.3615807066297112, 0.5263157894736844, 0.497492181443721, 0.9423649041429524]"
34,"&quot;You may not love them, but please don&#39;t hurt them.&quot; This is a saying often said by dog lovers. So on the other hand, dogs, if you don’t love me, can you please stop hurting me? Dogs, if you don’t love that little girl and boy, why do you want to hurt them? Because people have human nature and have laws and morals to restrain their behavior, but dogs only have instincts and cannot restrain themselves. If the dog is not restrained, then the dog is not qualified to be at the same height as the person.",52,-0.11203963401720185,2,1,51,1,0,3,0,0,1,0,100.0,"[0.6105763619666702, 0.8022973671661509, 0.5262327818078083, 0.5, 0.6105763619666702, 0.5013551314131455, 0.5, 0.9189882903757777, 0.6677297685517439, 0.83628713174893, 0.99768010151643, 0.9402618529479976, 0.8083902312138639, 0.8780844279994069, 0.3491633157741525]"
35,"Dog owners are helpless if they cannot afford to pay compensation, so they should ban their dogs in crowded places or take other effective measures.",20,0.0,0,0,22,1,0,1,0,0,0,0,41.8714,"[0.7414719837679323, 0.21811907527183239]"
36,This little boy was bitten seriously by a dog!,9,0.0,0,0,10,0,0,0,0,0,1,0,89.476,[0.8947599532749857]
37,Forward Weibo,2,0.0,0,0,2,0,0,0,0,0,0,0,64.3891,[0.6438907129142762]
38,"The so-called dog is a friend, but the reality is that dogs are used as playthings, tools and slaves!",12,-4.017283857467632,0,1,13,3,0,0,0,0,0,0,98.5089,"[0.6548204744785231, 0.9747996523470106]"
39,"Therefore, many people will despise celebrities, because some celebrities are inherently people who do not know right from wrong and have incorrect views!",16,-3.5806053683097616,0,1,17,0,0,0,0,0,2,0,33.7513,"[0.4559677055564485, 0.40304754740109516]"
40,"Don’t do too many of these things. Children are mainly hurt, because in the eyes of these canines, they are easier to bully.",20,-1.1336733790210822,0,1,19,0,0,0,0,0,1,0,99.2834,"[0.34824929550676686, 0.9185116937353983, 0.9683748299448385, 0.5072640160946945]"
41,"They are so caring and love dogs. If a stray dog bites someone, then they, as the owner, should be held responsible. They should pay for it or go to jail.",19,3.8270730687638106,2,0,18,3,0,0,0,0,2,0,98.8732,"[0.9490687038366074, 0.8394922847389383]"
42,@陈俊凯@Joker Xue@李小兰@杨迪@兰西@李雅素@阿多@张信宇@李盈的Key@-李干- @李娜@ ZhuRuiJolieJolie@王东城@黄志伟Jerry @李佳Shero_,20,0.0,0,0,22,0,0,0,0,0,0,0,100.0,[0.9999999999999998]
43,"Yes, good point",4,0.0,0,0,5,0,0,0,0,0,0,0,63.1785,"[0.5262327818078083, 0.6317853705682682]"
44,Who will pay for the bitten person?,7,0.0,0,0,7,0,0,0,0,0,0,0,25.9354,[0.2593544272102719]
45,"I don’t know what to say, but with so many good examples to follow, practicing law is the fundamental and decisive solution, right?",19,-1.0103793919933737,0,0,19,3,0,0,0,0,0,0,9.9596,"[0.25248021845222945, 0.7554702357665382, 0.11565483871562243]"
46,"When a society allows raising dogs, the society must first raise people well.",14,0.0,0,0,16,1,0,0,0,0,0,0,96.2455,"[0.8515043053306437, 0.8323698283548432]"
